DATE initial_value,DOY initial_value,DOY_round,VOLUME_TOTAL,FCO2_DRY_umol_m2_sec,FCO2_DRY LIN_CV,FCO2_DRY LIN_R2,COMMENT,Substrate,Worm,CO2 initial_value,CO2_DRY initial_value,RAWCO2 initial_value,ETIME initial_value,FCO2_DRY LIN_SE,FCO2_DRY LIN_dCdt,avgnworm,avgnnoworm,avgoworm,avgonoworm
10/3/22 14:44,276.6145,277,591.2,2.93658,2.91933,0.96582,Nor3,N,T,427.71,432.79,2206510.182,0,0.00186,0.20389,,,,
10/6/22 15:02,279.62646,280,591.2,4.24958,1.61455,0.9937,Nor3,N,T,429.91,435.01,2203111.318,0,0.02652,0.71566,,,,
10/21/22 13:58,294.58218,295,591.22,2.68202,2.1077,0.98484,Nor3,N,T,435.26,440.35,2197519.773,0,0.00699,0.42714,,,,
10/25/22 14:53,298.62035,299,591.22,3.82161,2.54354,0.97538,Nor3,N,T,435.97,441.08,2198592.227,0,0.00163,0.33427,,,,
10/28/22 11:22,301.47366,301,591.22,4.54181,3.09156,0.96104,Nor3,N,T,427.39,432.52,2208450.773,0,0.00192,0.16465,,,,
10/3/22 14:47,276.61626,277,591.2,3.4931,1.25802,0.99861,Nor4,N,T,428.9,434.27,2207695.182,0,0.00277,0.16513,,,,
10/6/22 15:04,279.62802,280,591.2,5.32527,1.92028,0.98852,Nor4,N,T,430.86,436.04,2206338.227,0,0.02125,0.71892,,,,
10/21/22 14:00,294.58368,295,591.22,3.31047,1.36928,0.99723,Nor4,N,T,429.11,434.17,2205703.909,0,0.00155,0.21086,,,,
10/25/22 14:55,298.62196,299,591.22,4.18314,1.45996,0.99607,Nor4,N,T,586.8,597.36,2157134.5,0,0.00241,0.11594,,,,
10/28/22 11:24,301.47536,301,591.22,2.36521,1.52414,0.9949,Nor4,N,T,575.25,579.59,2154820.318,0,0.00212,0.10728,,,,
10/3/22 14:49,276.61782,277,591.2,1.35817,1.63857,0.99322,Nor5,N,F,582.83,587.57,2147343.409,0,0.00665,0.37524,,,,
10/6/22 15:07,279.62991,280,591.2,1.43492,1.46315,0.99595,Nor5,N,F,594.3,599.05,2142835.045,0,0.00344,0.45711,,,,
10/21/22 14:02,294.58535,295,591.22,0.90944,2.01186,0.98671,Nor5,N,F,583.47,587.88,2150523.227,0,0.00212,0.1276,,,,
10/25/22 14:57,298.62346,299,591.22,0.91417,1.90337,0.9888,Nor5,N,F,600.74,605.54,2141942.909,0,0.01886,0.79008,,,,
10/28/22 11:26,301.47689,301,591.22,0.82603,3.27359,0.95583,Nor5,N,F,603.86,608.91,2140855.727,0,0.0037,0.29909,,,,
10/3/22 14:52,276.61959,277,591.2,4.6607,2.98181,0.9641,Nor6,N,T,617.43,622.72,2133128.318,0,0.01609,0.74379,,,,
10/6/22 15:09,279.63154,280,591.2,5.05348,3.87914,0.93695,Nor6,N,T,608.14,612.83,2142571.955,0,0.00263,0.22176,,,,
10/21/22 14:05,294.58718,295,591.22,5.73796,2.64753,0.97285,Nor6,N,T,609.08,614.18,2141573.455,0,0.00297,0.16218,,,,
10/25/22 15:00,298.62519,299,591.22,4.82527,3.21838,0.95758,Nor6,N,T,613.76,618.38,2141583.773,0,0.00312,0.36856,,,,
10/28/22 11:28,301.47843,301,591.22,4.00681,3.42867,0.95115,Nor6,N,T,629.63,634.92,2132427.091,0,0.01232,0.60298,,,,
10/14/22 16:07,287.67214,288,682.2,0.01996,1.69851,0.99237,OAK_1,O,T,697.59,713.71,2123240.364,0,0.00283,0.13891,,,,
10/14/22 16:14,287.67679,288,682.2,0.02157,1.87876,0.98926,OAK_2,O,T,554.2,563,2161253.318,0,0.00259,0.13086,,,,
10/14/22 15:56,287.66412,288,682.2,0.01065,1.69905,0.99234,OAK_3,O,F,577.15,586.51,2149027.091,0,0.01211,0.53354,,,,
10/14/22 16:02,287.66838,288,682.2,0.01272,1.70954,0.99219,OAK_4,O,F,578.65,587.8,2148062.909,0,0.00512,0.57053,,,,
10/14/22 16:09,287.67355,288,682.2,0.01554,1.55432,0.99461,OAK_5,O,F,582.92,592.1,2147332.773,0,0.00195,0.1282,,,,
10/14/22 16:16,287.67819,288,682.2,0.01975,1.36345,0.99737,OAK_6,O,T,590.76,600.19,2143692.636,0,0.02026,0.67387,,,,
10/3/22 14:55,276.62199,277,591.2,4.68411,2.82616,0.96825,Oak1,O,T,608.39,618.02,2133868.864,0,0.00437,0.39561,,,,
10/6/22 15:11,279.63314,280,591.2,2.97699,1.99606,0.98704,Oak1,O,T,620.09,629.85,2126112.864,0,0.04174,1.26932,,,,
10/21/22 14:07,294.58882,295,591.22,2.12762,1.68173,0.99257,Oak1,O,T,623.62,633.85,2130376.455,0,0.00292,0.23445,,,,
10/25/22 15:02,298.62676,299,591.22,2.87397,1.59502,0.99405,Oak1,O,T,620.61,630.71,2133069.5,0,0.00379,0.17784,,,,
10/28/22 11:31,301.47999,301,591.22,3.01529,2.79344,0.96901,Oak1,O,T,606.26,616.13,2142642.636,0,0.01754,0.35574,,,,
10/3/22 14:57,276.62354,277,591.2,3.08696,1.35742,0.99734,Oak2,O,T,642.9,653.08,2114258.773,0,0.00389,0.5039,,,,
10/6/22 15:13,279.63463,280,591.2,2.37417,1.24548,0.99884,Oak2,O,T,481.54,490.05,2194384.136,0,0.00318,0.13854,,,,
10/21/22 14:10,294.59058,295,591.22,5.40669,2.44843,0.97758,Oak2,O,T,437.74,441.06,2200025.364,0,0.00246,0.11295,,,,
10/25/22 15:04,298.62825,299,591.22,9.11654,3.48279,0.94967,Oak2,O,T,440.07,443.14,2191433.455,0,0.01771,0.61578,,,,
10/28/22 11:33,301.48154,301,591.22,6.90544,4.08522,0.92983,Oak2,O,T,451.41,455.41,2190122.682,0,0.00334,0.3271,,,,
10/3/22 15:00,276.62509,277,591.2,1.11001,1.85838,0.98961,Oak3,O,F,451.49,454.6,2182528.909,0,0.00345,0.11223,,,,
10/6/22 15:15,279.63604,280,591.2,1.16112,1.63741,0.99335,Oak3,O,F,435.63,438.67,2197642.318,0,0.01789,0.55257,,,,
10/21/22 14:12,294.59216,295,591.22,1.57022,1.64561,0.99313,Oak3,O,F,443.7,447.08,2192716.909,0,0.01063,0.41616,,,,
10/25/22 15:07,298.62993,299,591.22,1.65984,1.69313,0.99243,Oak3,O,F,440.49,443.79,2192765.182,0,0.03679,0.93755,,,,
10/28/22 11:35,301.48307,301,591.22,1.25178,2.40066,0.97854,Oak3,O,F,468.1,471.66,2183110.909,0,0.00359,0.1696,,,,
10/3/22 15:02,276.62678,277,591.2,1.25495,1.95241,0.98779,Oak4,O,F,454.72,457.86,2185291.818,0,0.00384,0.12692,,,,
10/6/22 15:18,279.63778,280,591.2,1.15965,2.03364,0.98635,Oak4,O,F,456.71,460.07,2188115.182,0,0.00643,0.2265,,,,
10/21/22 14:15,294.59377,295,591.22,1.15802,2.15901,0.9838,Oak4,O,F,457.35,460.79,2184257,0,0.00367,0.79496,,,,
10/25/22 15:09,298.63162,299,591.22,1.29825,2.42115,0.97826,Oak4,O,F,613.16,627.34,2147242.727,0,0.00277,0.26422,,,,
10/28/22 11:37,301.48454,301,591.22,0.93993,3.23082,0.95708,Oak4,O,F,737.82,751.6,2145710.591,0,0.00311,0.25565,,,,
10/3/22 15:04,276.62844,277,591.22,1.26101,1.81172,0.99036,Oak5,O,F,597.97,611.32,2148165,0,0.00313,0.24929,,,,
10/6/22 15:20,279.63924,280,591.2,5.03075,3.1694,0.95896,Oak5,O,F,573.25,583.77,2157408.636,0,0.00336,0.13213,,,,
10/21/22 14:17,294.59527,295,591.22,2.64476,1.42112,0.99651,Oak5,O,F,578.24,584.74,2154289.864,0,0.01294,0.62264,,,,
10/25/22 15:11,298.63317,299,591.22,2.59523,5.06466,0.89351,Oak5,O,F,595.77,607.82,2154672.364,0,0.00372,0.29346,,,,
10/28/22 11:39,301.48604,301,591.22,1.62704,3.05604,0.96198,Oak5,O,F,607.73,621.8,2143892.818,0,0.00442,0.40904,,,,
10/3/22 15:07,276.62988,277,591.2,2.08788,1.4357,0.99626,Oak6,O,T,631.1,646.08,2144017.227,0,0.00577,0.46098,,,,
10/6/22 15:22,279.64082,280,591.2,1.48298,1.35942,0.99737,Oak6,O,T,630.76,645.6,2146186.545,0,0.00382,0.36352,,,,
10/21/22 14:19,294.59682,295,591.22,4.33431,2.34169,0.97995,Oak6,O,T,585.59,591.95,2147765.455,0,0.01624,0.67812,,,,
10/25/22 15:14,298.63476,299,591.22,3.57437,1.37994,0.99709,Oak6,O,T,766.94,776.53,2146769.773,0,0.00742,0.49828,,,,
10/28/22 11:42,301.48772,301,591.22,5.75745,1.21926,0.99896,Oak6,O,T,598.04,605.16,2144924.955,0,0.00328,0.44741,,,,
